,Unnamed: 0,일시,SPI1,SPI2,SPI3,SPI4,SPI5,SPI6,주암댐저수율(%),강우량(mm),동북댐저수율(%)
67,67.0,2022-12-07,0.01,-0.95,-1.58,-1.47,-1.44,-1.51,30.6,0.0,29.21
68,68.0,2022-12-08,0.05,-0.9,-1.57,-1.4,-1.42,-1.52,30.5,0.0,29.04
69,69.0,2022-12-09,0.09,-0.92,-1.59,-1.26,-1.45,-1.51,30.5,0.0,28.87
70,70.0,2022-12-10,0.09,-1.0,-1.54,-1.22,-1.42,-1.51,30.4,0.0,28.43
71,71.0,2022-12-11,0.12,-1.08,-1.52,-1.17,-1.4,-1.49,30.3,0.0,28.43
72,72.0,2022-12-12,0.15,-1.03,-1.35,-1.21,-1.43,-1.49,30.2,0.0,28.43
73,73.0,2022-12-13,-0.62,-0.94,-1.31,-1.16,-1.34,-1.49,30.1,0.0,28.26
74,74.0,2022-12-14,-1.13,-0.94,-1.28,-1.13,-1.33,-1.48,30.0,0.5,28.1
75,75.0,2022-12-15,-1.09,-0.87,-1.19,-1.08,-1.34,-1.48,30.0,0.2,27.96
76,76.0,2022-12-16,-0.97,-0.83,-1.14,-1.07,-1.3,-1.49,29.8,0.0,27.79
77,77.0,2022-12-17,-0.97,-0.82,-1.1,-1.16,-1.25,-1.49,29.8,0.4,27.32
78,78.0,2022-12-18,-0.78,-0.76,-1.01,-1.1,-1.18,-1.49,29.7,5.1,27.32
79,79.0,2022-12-19,-0.51,-0.62,-0.91,-1.06,-1.47,-1.44,29.6,0.2,27.32
80,80.0,2022-12-20,-0.47,-0.65,-0.92,-1.03,-1.47,-1.44,29.5,0.1,27.18
81,81.0,2022-12-21,-0.43,-0.67,-0.9,-1.22,-1.46,-1.53,29.5,4.4,27.08
82,82.0,2022-12-22,-0.29,-0.55,-0.82,-1.07,-1.42,-1.49,29.4,3.2,26.95
83,83.0,2022-12-23,-0.22,-0.49,-0.75,-1.0,-1.38,-1.48,29.3,3.5,26.57
84,84.0,2022-12-24,0.26,-0.15,-0.48,-1.08,-1.4,-1.55,29.3,0.1,26.57
85,85.0,2022-12-25,0.32,-0.17,-0.44,-1.07,-1.46,-1.65,29.2,0.3,26.57
86,86.0,2022-12-26,0.35,-0.16,-0.44,-0.96,-1.45,-1.61,29.1,0.3,26.57
87,87.0,2022-12-27,0.37,-0.14,-0.44,-0.9,-1.38,-1.6,29.0,0.2,26.4
88,88.0,2022-12-28,0.43,-0.13,-0.42,-0.8,-1.36,-1.6,28.9,0.1,26.27
89,89.0,2022-12-29,0.28,-0.1,-0.42,-0.77,-1.36,-1.55,28.8,0.0,26.1
90,90.0,2022-12-30,0.0,-0.08,-0.41,-0.73,-1.37,-1.56,28.8,0.1,25.93
91,91.0,2022-12-31,0.06,-0.09,-0.38,-0.67,-1.34,-1.54,28.7,0.0,25.46
92,92.0,2023-01-01,0.02,-0.07,-0.4,-0.67,-1.51,-1.55,28.6,0.0,25.46
93,93.0,2023-01-02,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,25.46
94,94.0,2023-01-03,0.1,-0.03,-0.21,-0.53,-1.45,-1.47,28.5,0.0,25.29
95,95.0,2023-01-04,0.12,-0.04,-0.2,-0.49,-1.52,-1.46,28.4,0.0,25.12
96,96.0,2023-01-05,0.25,-0.06,-0.91,-0.5,-1.46,-1.45,28.4,0.0,24.95
97,97.0,2023-01-06,0.25,-0.06,-0.9,-1.07,-1.47,-1.46,28.3,2.2,24.78
98,98.0,2023-01-07,0.4,0.02,-0.83,-1.48,-1.44,-1.42,28.3,0.0,24.34
99,99.0,2023-01-08,0.33,0.01,-0.89,-1.51,-1.41,-1.41,28.2,0.0,24.34
100,100.0,2023-01-09,0.34,0.08,-0.88,-1.49,-1.27,-1.43,28.2,0.0,24.34
101,101.0,2023-01-10,0.38,0.1,-0.96,-1.42,-1.22,-1.4,28.1,0.0,24.2
102,102.0,2023-01-11,0.41,0.15,-1.04,-1.41,-1.16,-1.39,28.1,0.0,24.07
103,103.0,2023-01-12,0.38,0.16,-1.03,-1.28,-1.21,-1.42,28.0,2.8,23.93
104,104.0,2023-01-13,0.37,-0.48,-0.97,-1.24,-1.16,-1.33,28.5,49.5,23.8
105,105.0,2023-01-14,1.13,0.01,-0.31,-0.85,-0.96,-1.18,28.9,0.0,25.83
106,106.0,2023-01-15,1.21,0.01,-0.29,-0.79,-0.93,-1.21,29.1,0.1,25.83
107,107.0,2023-01-16,1.2,0.01,-0.29,-0.74,-0.92,-1.19,29.3,0.0,25.83
